
C:\Users\pc\convy\app\[locale]\(dashboard)\dashboard\create\page.tsx
   101:14   warning  'error' is defined but never used                                                                                                                                                                                                                                  @typescript-eslint/no-unused-vars
   201:9    error    'currentSurveyId' is never reassigned. Use 'const' instead                                                                                                                                                                                                         prefer-const
   224:55   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   227:39   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   227:75   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   227:110  error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   229:40   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   229:84   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   328:18   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   373:6    warning  React Hook useEffect has a missing dependency: 'voiceWs.isPlaying'. Either include it or remove the dependency array. Outer scope values like 'isConnecting' aren't valid dependencies because mutating them doesn't re-render the component                       react-hooks/exhaustive-deps
   386:6    warning  React Hook useEffect has a missing dependency: 'voiceWs'. Either include it or remove the dependency array                                                                                                                                                         react-hooks/exhaustive-deps
   408:6    warning  React Hook useEffect has a missing dependency: 'voiceWs'. Either include it or remove the dependency array                                                                                                                                                         react-hooks/exhaustive-deps
   419:16   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   477:6    warning  React Hook useMemo has unnecessary dependencies: 'collectedInfo' and 'extractedData'. Either exclude them or remove the dependency array. Outer scope values like 'collectedInfo' aren't valid dependencies because mutating them doesn't re-render the component  react-hooks/exhaustive-deps
   531:6    warning  React Hook useEffect has missing dependencies: 'language', 'surveyId', and 'voiceWs'. Either include them or remove the dependency array                                                                                                                           react-hooks/exhaustive-deps
   564:49   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   567:41   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   567:77   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   567:112  error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   569:42   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   569:86   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   630:6    warning  React Hook useEffect has a missing dependency: 'setMessages'. Either include it or remove the dependency array                                                                                                                                                     react-hooks/exhaustive-deps
   658:10   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   659:6    warning  React Hook useCallback has an unnecessary dependency: 'input'. Either exclude it or remove the dependency array. Outer scope values like 'input' aren't valid dependencies because mutating them doesn't re-render the component                                   react-hooks/exhaustive-deps
   669:13   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   693:6    warning  React Hook useEffect has a missing dependency: 'fetchUpdatedData'. Either include it or remove the dependency array                                                                                                                                                react-hooks/exhaustive-deps
   700:6    warning  React Hook useEffect has a missing dependency: 'fetchUpdatedData'. Either include it or remove the dependency array                                                                                                                                                react-hooks/exhaustive-deps
   706:25   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
   708:6    warning  React Hook useCallback has an unnecessary dependency: 'input'. Either exclude it or remove the dependency array. Outer scope values like 'input' aren't valid dependencies because mutating them doesn't re-render the component                                   react-hooks/exhaustive-deps
  1058:43   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
  1058:110  error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
  1305:47   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
  1307:62   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
  1307:97   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any
  1314:58   error    Unexpected any. Specify a different type                                                                                                                                                                                                                           @typescript-eslint/no-explicit-any

✖ 35 problems (24 errors, 11 warnings)
  1 error and 0 warnings potentially fixable with the `--fix` option.

